id,full_name,email,bank_name,account_no,balance
40,Modestine Gabrieli,mgabrieli13@spiegel.de,BANCO BPM SOCIETA' PER AZIONI,FR41 7913 2372 50A8 75FR BMUS 313,29072398.33
41,Isidora Bosence,ibosence14@dedecms.com,VALLEY NATIONAL BANK,BE43 9249 5427 0496,14521665.64
42,Carlie Fairholm,cfairholm15@simplemachines.org,FARMERS STATE BANK,BA50 4805 6268 7498 5856,33633140.44
43,Loutitia Ganley,lganley16@imageshack.us,Bank Spółdzielczy w Tarnobrzegu,FR77 7943 5063 96UG JQGF HBA8 X97,30170690.38
44,Tierney Sissland,tsissland17@shutterfly.com,IBERIABANK,MT75 XTHD 9727 8CLH QEGW PTQN DFYL PPE,2758646.96
45,Amber Clemas,aclemas18@google.cn,CITIZENS BANK,MT43 HMJB 7027 3EEM B80K 0ZIK TKFY 9FZ,3626854.11
46,Imelda Frampton,iframpton19@theglobeandmail.com,DEUTSCHE BANK AKTIENGESELLSCHAFT,LB82 6664 ZSMK MI7A WCFA FRUP EOPB,5444647.62
47,Quentin Titterrell,qtitterrell1a@vkontakte.ru,JPMORGAN CHASE,FR22 0769 2660 62LJ L6NU IXHK N89,20928677.78
48,Clarice Holson,cholson1b@123-reg.co.uk,HVIDBJERG BANK A/S,MD96 MGWH D5TW WA4S H3WC 8OHK,10861819.89
49,Charmain Brettoner,cbrettoner1c@amazonaws.com,Banque Hottinguer,FR64 3684 0074 155L EJZS NVCT 305,48118520.27
50,Nat Storkes,nstorkes1d@earthlink.net,VR-Bank Ellwangen eG,FO25 2964 5860 4644 09,46620226.43
51,Doroteya Burnard,dburnard1e@stanford.edu,Axa banque,NL27 BIJC 1272 9949 57,27226389.8
52,Bordy Willimont,bwillimont1f@drupal.org,BMO HARRIS BANK,FR25 8270 1697 67YF EOCO VPSM R04,46814889.89
53,Jessalyn Belford,jbelford1g@vimeo.com,US BANK,RO36 VWMF TNAS C9KS QUNO 9KLQ,13066722.08
54,Doe Dibley,ddibley1h@nydailynews.com,COMERICA BANK,FR14 3817 9145 34FN KG68 IXNI M87,33387720.01
55,Ilyssa Espin,iespin1i@tinyurl.com,CADENCE BANK,FR44 5019 3036 62JW DSZV R87U Q18,7926417.39
56,Isador Milburn,imilburn1j@google.com,STONEGATE BANK,HU57 2418 6332 0931 8094 2692 8240,18493445.34
57,Sarge Northley,snorthley1k@123-reg.co.uk,Woori Bank Europe GmbH,SA81 35CT 8W1U F1G4 PO3J 8VK2,13923665.21
58,Edithe Carse,ecarse1l@wix.com,Cara Credit Union Limited,PT22 5036 7451 2392 4730 5141 3,30930340.08
59,Sascha Tackett,stackett1m@msn.com,Raiffeisenbank Arlberg Silvretta eGen,EE93 8569 2604 1017 8624,49969721.2
60,Duffy Comsty,dcomsty1n@auda.org.au,JPMORGAN CHASE,SA64 55UI CG2R NOAQ PMGP NBUG,43147275.08
61,Doll Corck,dcorck1o@gmpg.org,FIFTH THIRD BANK,MK80 019R DZLM C3RD E16,42085385.72
62,Zedekiah Foston,zfoston1p@list-manage.com,KEYBANK,HU62 7827 2866 5809 0564 4084 6311,49809017.35
63,Berta Legges,blegges1q@meetup.com,BMO HARRIS BANK,FR21 4051 6497 68LX V82P ISBB E68,27159584.86
64,Cointon Slyford,cslyford1r@mapy.cz,PEOPLES BANK,TN66 9600 3390 2065 5661 6942,41820162.78
65,Maryrose Grizard,mgrizard1s@slate.com,MBH Befektetési Bank Zártkörűen Működő Részvénytársaság,AD61 4738 4364 S6F5 WWGQ 9JYL,34565841.56
66,Teresita Fountaine,tfountaine1t@blogtalkradio.com,BANCO BPM SOCIETA' PER AZIONI,IL38 2292 6668 5281 5557 972,23699566.89
67,Ellyn Nyles,enyles1u@wiley.com,Raiffeisenbank Region Rohrbach eGen,PK49 DBQG MMFU XN44 RDTJ YV7N,25506672.58
68,Giustina Kither,gkither1v@elegantthemes.com,SOUTH STATE BANK,CR68 7186 0985 4725 2570 3,41062504.92
69,Lenci Giorgini,lgiorgini1w@com.com,PARK NATIONAL BANK,PS28 JFSU 2WEZ MFUW VIJG 0M2J THCO O,3288813.12
70,Loralie Kirsopp,lkirsopp1x@blog.com,SANTANDER BANK,ME97 2737 4230 6302 8635 14,23337796.02
71,Anatola Bastone,abastone1y@icq.com,BANCO BPM SOCIETA' PER AZIONI,FR35 3018 3141 34SW MPT9 XOFP A24,28712748.54
72,Branden Eliot,beliot1z@cargocollective.com,CENTENNIAL BANK,NO28 3907 7934 800,40282109.66
73,Gilberto Yakolev,gyakolev20@theglobeandmail.com,BRANCH BANKING & TRUST COMPANY,DE37 4820 6727 7240 4681 00,29252263.95
74,Farley Congdon,fcongdon21@ca.gov,Banque Degroof Petercam Luxembourg S.A.,TR29 1008 6VAB XNTK GM6M FZXQ DF,45276051.1
75,Marleen Biers,mbiers22@bigcartel.com,DEUTSCHE BANK AKTIENGESELLSCHAFT,PT03 0947 4316 7935 6685 6182 8,6600889.16
76,Malia Coller,mcoller23@scribd.com,Erste Group Bank AG,MD19 JX2T SILL 9MBD IEGE L4PE,46342809.96
77,Berti Fewster,bfewster24@wufoo.com,CITIBANK WEST,GT02 RQAP BZRN WGDJ VIJZ 7TYN LOLI,39550429.92
78,Mile Gallamore,mgallamore25@nasa.gov,Banque populaire du Nord,PK10 PXMA KGFK NKTD 1PNV SSSX,34859382.01
79,Dietrich Sailor,dsailor26@oakley.com,CENTENNIAL BANK,TN38 8650 5466 8859 2960 6125,282690.63
80,Even Grisley,egrisley27@dailymail.co.uk,BANCA NAZIONALE DEL LAVORO S.P.A. (IN FORMA CONTRATTA BNL S.P.A.),AZ49 MVMF 8NHL TTSM Z4B2 XSEK SAGN,45945610.03
81,Floyd Odd,fodd28@answers.com,CITIZENS STATE BANK,AL29 2738 9109 JK4W SFRY 5BFI FFDA,47644183.93
82,Saidee Hrishchenko,shrishchenko29@rambler.ru,SMART BANK SOCIETÀ PER AZIONI IN AMMINISTRAZIONE STRAORDINARIA,GT06 6CGO QLL9 FX6W 5HG9 B8O4 FVQB,22427189.46
83,Amata Sinott,asinott2a@t-online.de,THE PEOPLES BANK,HR57 6425 4077 8983 0473 7,11934527.89
84,Albertina Grece,agrece2b@sitemeter.com,BANK OF THE WEST,FR71 1776 1630 45Q1 KY86 9BEG 450,8466933.97
85,Carlin Scarlett,cscarlett2c@marketwatch.com,PEOPLES STATE BANK,FR47 0297 4463 76GH N1DM DDC0 E01,45739708.4
86,Rasla Drever,rdrever2d@nifty.com,FIDELITY BANK,FR10 5289 1709 19BG 67WT TLS3 U10,43421977.91
87,Darcy Goodsell,dgoodsell2e@free.fr,"Caja Rural de Casas Ibáñez, S. Coop. de Crédito de Castilla-La Mancha",AZ89 MNII ZJZH XB9A Y6PV NJJ4 RMPQ,22426627.99
88,Joete MacDearmaid,jmacdearmaid2f@ow.ly,BANCA DI CREDITO COOPERATIVO DI LEZZENO (COMO) - SOCIETA' COOPERATIVA A RESPONSABILITA' LIMITATA,LU52 076F DU5B 2JRS 51UD,3326424.33
89,Ilse deKnevet,ideknevet2g@salon.com,Volksbank Heiden eG,FR24 1735 7101 32QQ IU9I UQKZ D51,48426043.67
90,Noe Coomber,ncoomber2h@blogs.com,COMMERCIAL BANK,IT98 X875 4640 459P 6EON 7QWR PLS,26460505.07
91,Kris Stirman,kstirman2i@topsy.com,BGL BNP Paribas,DK23 8520 2556 3208 46,1419961.71
92,Libbie Woodstock,lwoodstock2j@about.com,MAINSOURCE BANK,HU65 0003 7220 5740 3575 7238 5945,3211270.71
93,Rosie Frensch,rfrensch2k@yelp.com,FIRST FIDELITY BANK,EE29 4167 7547 9713 9928,11302900.74
94,Uta Assard,uassard2l@google.de,STATE BANK AND TRUST COMPANY,GB38 HZIY 0606 3007 2172 00,35414181.26
95,Sibelle Bernardino,sbernardino2m@51.la,GREAT LAKES CREDIT UNION,CH19 6548 3WJC UL4J BVKV M,18819704.75
96,Miles Bourchier,mbourchier2n@gov.uk,BANCO BPM SOCIETA' PER AZIONI,DO21 FYG4 0519 7045 7521 8567 8217,25081765.39
97,Albertina Hodges,ahodges2o@clickbank.net,CITIZENS STATE BANK,TN02 1397 3069 6667 4366 6044,2112144.01
98,Jeffry Mirfield,jmirfield2p@godaddy.com,JPMORGAN CHASE,CH19 3878 6WVV HOGP Q6RG 0,13451050.0
99,Gerladina Hatchard,ghatchard2q@youtu.be,BANCO BPM SOCIETA' PER AZIONI,FR59 9311 7697 846P DJGB 6OOL 964,19110004.02
100,Mavra Berendsen,mberendsen2r@usda.gov,Instituto de Crédito Oficial,IT50 U344 1640 651I PLWG YJDC XGS,19180435.09
101,Catherina Heyworth,cheyworth2s@ucoz.com,COMMUNITY FIRST BANK,GT69 D1GX ASCA SZTM OXGY CJUL CMSG,39732390.09
102,Sascha Penrith,spenrith2t@wp.com,BANK OF AMERICA,LI92 0516 9IIZ KTP5 ZWTP Y,16812353.26
103,Ondrea Grimmer,ogrimmer2u@netlog.com,KREMSER BANK UND SPARKASSEN AKTIENGESELLSCHAFT,BH06 ZSDC BIR3 X1NO KDZR CV,31896483.33
104,Izak Slayton,islayton2v@storify.com,INTERBANK,FR56 4118 0509 175I JYJD 3TGM S86,2798881.32
105,Darn Diggle,ddiggle2w@symantec.com,BANCO DE INVESTIMENTO GLOBAL S.A.,SK84 2644 9967 8832 1051 5374,39066050.52
106,Kelley Dukelow,kdukelow2x@ucoz.ru,INTERNATIONAL BANK OF COMMERCE,IS22 3314 4022 2810 7021 0243 86,16148547.01
107,Gilberte Joule,gjoule2y@mac.com,Sparkasse Duisburg,FI30 0872 7818 9860 93,34167958.11
108,Elmore Brewers,ebrewers2z@wufoo.com,BANCO BPM SOCIETA' PER AZIONI,PT50 5022 1445 3140 3678 7022 6,37913976.69
109,Cristin Escritt,cescritt30@acquirethisname.com,BMO HARRIS BANK,AD29 1149 7727 F4WL CFYN I2BA,13121709.65
110,Fielding Hing,fhing31@patch.com,FIL Fondsbank GmbH,GR25 9841 646L DLRF LZ2D RB0E SIZ,40280238.98
111,Lorrin Redd,lredd32@answers.com,SOUTH STATE BANK,FR96 7724 6556 435F 0FF4 05NR 828,10896884.51
112,Emilia Collyns,ecollyns33@shutterfly.com,V-Bank AG,SK96 1850 8694 8314 9611 6421,30480697.64
113,Dolores Walcot,dwalcot34@google.com.br,Norddeutsche Landesbank - Girozentrale -,FO90 6284 8967 2900 02,36558381.25
114,Darrell Pindar,dpindar35@wsj.com,BEAR STATE BANK,RS31 6137 1958 7770 0150 03,21665612.89
115,Teodorico Garton,tgarton36@shop-pro.jp,Volksbank Hellweg eG,HU35 2948 6891 8281 5817 2296 9444,30658340.91
116,Ambrosius Lamport,alamport37@nature.com,BANKPLUS,CH87 5261 7ZTM EFGV TKKP 6,24205005.35
117,Chrysler Buddock,cbuddock38@sfgate.com,FIRST NATIONAL BANK,PK14 ACLQ CFC2 HPU0 FQZP AALF,388286.62
118,Joanna Whyte,jwhyte39@people.com.cn,JPMORGAN CHASE,TR86 1961 5T34 VVQW GNAL ZSJU VC,39965143.75
119,Georgina Offin,goffin3a@goo.ne.jp,BPCE,GE72 TW31 3988 9657 8648 25,37836755.22
120,Orran Eskrigg,oeskrigg3b@ow.ly,PEOPLES BANK,TR29 5586 8MVN BUVB X7MI HF4X UZ,30251446.5
121,Michal Yeates,myeates3c@cbsnews.com,Volksbank an der Niers eG,SI66 7915 8955 9541 199,13815983.23
122,Malcolm Chitham,mchitham3d@prlog.org,FIRST BANK S.A.,TR64 1520 7GBL IEGH WEGE 4YMN LL,22174942.03
123,Donalt Twatt,dtwatt3e@clickbank.net,INTERBANK,PS90 EBCP VDEH 3NJK GSRR ROOX Y1R0 R,9241402.95
124,Trent McKendo,tmckendo3f@simplemachines.org,T.C. Ziraat Bankasi A.S.,FR50 2300 9541 76EP ZDMD XYCY M59,15921325.45
125,Owen Frantz,ofrantz3g@liveinternet.ru,RENASANT BANK,LI62 9863 1KM6 KVGO OPYJ Q,9360446.34
126,Staci Maffei,smaffei3h@tamu.edu,CAPITAL BANK,FR25 1536 3244 80QJ HD1O 7BPJ U20,12623558.91
127,Mitchell Hares,mhares3i@harvard.edu,VALLEY NATIONAL BANK,BH56 ELUF GYRD EAIN OY3W ED,44634769.21
128,Bartholomeus Schroeder,bschroeder3j@intel.com,PROSPERITY BANK,BE12 9010 2887 7286,10511791.91
129,Agnes Cestard,acestard3k@youku.com,BANCO BPM SOCIETA' PER AZIONI,LU40 992X CSRG C38I DLEX,30319813.24
130,Dinnie Briggs,dbriggs3l@kickstarter.com,INTERNATIONAL BANK OF COMMERCE,ME69 9685 5946 3712 9196 72,49636182.71
131,Janelle De Stoop,jde3m@cnbc.com,FIRST NATIONAL BANK,AL65 1610 3799 GC6A PDV4 JXQQ Z3UN,24530188.67
132,Harrie Mulran,hmulran3n@wikimedia.org,COMMERCE BANK,FR09 2038 9639 15KU QSI3 VCR7 638,14025493.66
133,Archibaldo Rickesies,arickesies3o@unicef.org,"Banco Bilbao Vizcaya Argentaria, S.A.",TN96 3011 4802 5949 8327 5819,1035686.19
134,Abba Maleham,amaleham3p@webmd.com,BMO HARRIS BANK,AD63 2809 6502 HXOQ VKHE 80IS,1295757.43
135,Audie Merrick,amerrick3q@exblog.jp,GREAT WESTERN BANK,PL66 6811 1938 3364 9259 9122 0857,1529558.29
136,Darya Geraldo,dgeraldo3r@tmall.com,DEUTSCHE BANK S.P.A.,KW38 HCTC E4FV UVAY AVDI NP0Z SZLG PK,8614756.73
137,Tomasina Churchward,tchurchward3s@stanford.edu,FIRST NATIONAL BANK OF PENNSYLVANIA,BR51 1893 7322 7712 4132 4755 211Y T,26614707.02
138,Fairfax Rolf,frolf3t@tripod.com,CHEMICAL BANK,VG19 YKWJ 0035 6580 6415 3179,11947776.25
139,Shayla Haker,shaker3u@msn.com,VR Bank Rhein-Neckar eG,FR97 8813 1422 24IA R8VY CQVF N73,31511665.36
140,Salvatore Bodicam,sbodicam3v@google.co.jp,CaixaBank Wealth Management Luxembourg S.A.,BH35 SOQD MMCT VQFR WMA0 LE,20193708.82
141,Edee Kynson,ekynson3w@rakuten.co.jp,FIRST NATIONAL BANK,AZ72 XXIV SX6J LNKB 0YIU VZHB XY97,365327.1
142,Harrie Thunnercliff,hthunnercliff3x@livejournal.com,Raiffeisenbank Hippach-Hart eGen,MT53 IOLA 2809 1GHS RUUD TXU4 OGHL VYJ,39732535.39
143,Forester Roff,froff3y@google.com,GLACIER BANK,BG84 SOAX 4537 79KM MNXR 2C,27149575.91
144,Heddie Fairn,hfairn3z@adobe.com,NYKREDIT REALKREDIT A/S,BE18 9297 1801 9516,22051706.91
145,Elora McLugaish,emclugaish40@merriam-webster.com,M & T BANK,FR09 2164 0401 56EE WQOG 7KMM Z51,46486714.14
146,Christina Juanico,cjuanico41@tmall.com,Norddeutsche Landesbank - Girozentrale -,SA26 78KJ KR5H SEWL JMJX 7RKP,2791008.39
147,Caryl Goodright,cgoodright42@surveymonkey.com,Diac,GE15 MD70 0798 4397 3722 98,12121374.58
148,Orsola Masser,omasser43@answers.com,Raiffeisenbank Dietersheim und Umgebung eG,FR82 7641 5807 02IJ 656L EVAK Z11,34987781.15
149,Susy Constantine,sconstantine44@businessweek.com,Volksbank Geest eG,LV80 LTSQ WSQK UH4E U8GX S,3696551.95
150,Clarissa Scarsbrook,cscarsbrook45@harvard.edu,NEW YORK COMMUNITY BANK,CH87 5153 0XLQ VL03 A6WO M,33830216.93
151,Zorana Sheach,zsheach46@dropbox.com,BANCA DI BARI E TARANTO CREDITO COOPERATIVO - SOCIETA' COOPERATIVA,SI53 9078 9731 4998 055,34970007.39
152,Taylor Brooks,tbrooks47@opensource.org,"Raiffeisenlandesbank Kärnten - Rechenzentrum und Revisionsverband, registrierte Genossenschaft mit beschränkter Haftung",FR92 2489 5486 576H ZDTD 9XOU I07,41212283.76
153,Kipper Abethell,kabethell48@amazonaws.com,BMW Bank GmbH,PS75 KAAQ HHZH IS9X OMY7 NUGF VRCN S,46962677.89
154,Aylmer Di Francecshi,adi49@cornell.edu,USALLIANCE FEDERAL CREDIT UNION,RO24 CBFI BFMO DBPY EG16 MCR2,41039833.66
155,Karina Insley,kinsley4a@cdbaby.com,CORNERSTONE BANK,TR61 0073 5GRH A73J IQZ3 1ZKU UY,1981960.33
156,Ax Gossage,agossage4b@spiegel.de,MAINSOURCE BANK,TN45 6919 5093 0989 4621 6525,37791161.52
157,Sherwin Silvers,ssilvers4c@youtube.com,"Fio banka, a.s.",BA43 8730 7415 9318 0757,10040115.8
158,Marlowe Blumer,mblumer4d@networkadvertising.org,VR-Bank Fläming-Elsterland eG,LB79 6480 JOEB FOQF INKK PLV7 47SB,26103973.88
159,Eugenie Geake,egeake4e@deliciousdays.com,THE HUNTINGTON NATIONAL BANK,LI97 4375 09JY L3MR HC7J Y,2254891.78
160,Therese Sleit,tsleit4f@youku.com,UBS Europe SE,MT55 VHWG 9951 7N1U 5TLQ TWH4 XW7T API,7363881.78
161,Elia Pirri,epirri4g@jugem.jp,BANCO BPM SOCIETA' PER AZIONI,MC13 1274 6475 35H1 HHKO UNCA J39,29897614.46
162,Georgie Bracer,gbracer4h@weebly.com,BEOBANK NV/SA,SK51 6033 8617 5962 0668 1879,18241538.61
163,Wakefield Haughian,whaughian4i@usa.gov,FIRST NATIONAL BANK,PS72 WNYD LCKH TQ8W EIG5 CKXD 9D1K W,29079284.22
164,Royal Gallgher,rgallgher4j@dion.ne.jp,Crédit Agricole S.A.,SI04 7972 4747 6137 135,27848831.02
165,Jdavie Traske,jtraske4k@guardian.co.uk,CAMDEN NATIONAL BANK,CZ28 3844 5139 6356 2568 7338,39262278.2
166,Shaylynn Ogelsby,sogelsby4l@imageshack.us,CAPITAL ONE,LI02 6234 7KOL 7MOO EBR9 U,13431938.97
167,Delmore Corzon,dcorzon4m@unblog.fr,BANCO POPULAR,FR95 8777 7896 19GE LLK1 SMKF X39,35301891.8
168,Coralyn McGovern,cmcgovern4n@netvibes.com,BMO HARRIS BANK,AZ32 XIKW MECM RIZK 2WVN ZYK1 1O0L,43134522.18
169,Thalia Kitchinghan,tkitchinghan4o@about.me,FARMERS BANK,TN80 3815 2910 1347 7441 6250,25579867.71
170,Paul Mayger,pmayger4p@mozilla.com,UNITED COMMUNITY BANK,IE76 VONT 6854 5967 3721 00,24232922.91
171,Annis Corgenvin,acorgenvin4q@skype.com,DEUTSCHE BANK S.P.A.,CR70 3660 4441 7734 0820 9,47938341.21
172,Jamal Ralston,jralston4r@qq.com,TD BANK,FI68 6829 5578 9290 81,22641254.41
173,Marena Piddlehinton,mpiddlehinton4s@nydailynews.com,PNC BANK,HU72 2577 0573 7008 6350 6614 6448,29699526.89
174,Genny Roughley,groughley4t@dyndns.org,CAPITAL ONE,GI86 XTXD AT6G OZTX VPPN RGE,36975915.09
175,Gabrila O'Moylane,gomoylane4u@ibm.com,CITIZENS BANK,KW34 UWMK UPEY FULZ PZZI MD8E J2SQ BB,15964576.2
176,Garland Keson,gkeson4v@wikimedia.org,CAPITAL BANK,FR46 8658 3182 98II KFXA 6PCT T33,27497940.58
177,Ezekiel Oldrey,eoldrey4w@nps.gov,KEY BANK,PL87 6436 5245 9053 3389 4921 5380,43151185.84
178,Thane Youthed,tyouthed4x@chron.com,FIRST NATIONAL BANK,LT88 9579 2779 9565 6783,37238891.8
179,Normy Royall,nroyall4y@google.cn,BEAR STATE BANK,AT45 3181 4517 6970 0162,38763435.05
180,Niccolo Hamner,nhamner4z@vkontakte.ru,FIRST STATE BANK,FR04 3291 5552 526J 0XSW 0J9C Z80,28551917.45
181,Ingamar Decruse,idecruse50@salon.com,State Bank of India,GE48 NQ45 5931 0478 6256 82,14067785.72
182,Georgy Peacher,gpeacher51@google.com.br,UNITED BANK & CAPITAL TRUST COMPANY,GT77 VWRT BJXD Q6M9 3N05 YSH2 M4NJ,25137848.51
183,Vonnie Caze,vcaze52@slate.com,Sparbanken Syd,SK30 3326 2766 7430 7006 5391,31316510.93
184,Josephina Burder,jburder53@marketwatch.com,FIRST MERCHANTS BANK,FR62 7581 8209 08GN NEJX WYTT P78,8807867.71
185,Madalyn Kynd,mkynd54@weibo.com,FIRST NATIONAL BANK,VG65 NSZT 1584 7412 9781 3626,31378338.13
186,Jefferson Dally,jdally55@privacy.gov.au,BMO HARRIS BANK,KZ86 970P EDEN JKYI M433,44387867.72
187,Teodora Bartalini,tbartalini56@auda.org.au,BANCA NAZIONALE DEL LAVORO S.P.A. (IN FORMA CONTRATTA BNL S.P.A.),TR35 5751 5SSJ WHDH W4QL VMBQ II,39725939.62
188,Price Gerty,pgerty57@ucoz.ru,Bank 1 Saar eG,DO11 JWGF 2634 4385 5299 4769 6647,15879640.14
189,Mellisent Tendahl,mtendahl58@blog.com,CITIBANK,BE04 8460 5645 1647,34161730.91
190,Bren Cradoc,bcradoc59@ted.com,CITIZENS BANK,KW31 DDYQ GOPM UB3W E7NO YGMP 03S3 FW,27690851.92
191,Jephthah Mazin,jmazin5a@sohu.com,FIRST STATE BANK,FR59 7687 9120 715S TWEE UE7H L98,21430479.85
192,Gwendolyn Cogzell,gcogzell5b@homestead.com,Sparkasse Regensburg,FR70 0312 0314 71FQ FDZH QYU5 B89,10449168.27
193,Brunhilde Tourot,btourot5c@army.mil,"HAITONG BANK, S.A.",AE23 3250 7806 2166 8612 072,5670059.84
194,Bernadine Assinder,bassinder5d@state.tx.us,FIRST COMMUNITY BANK,MT66 FIVS 1256 8CA8 Y2WS HFGE TKZE H7T,3769218.22
195,Noemi Bartalucci,nbartalucci5e@redcross.org,WELLS FARGO BANK,MD79 TIRL 9HK5 JPJA X7QH 5STE,13589038.54
196,Hyman Kitteringham,hkitteringham5f@huffingtonpost.com,Raiffeisen Regionalbank Mödling eGen,KW87 AMLV MQ1Y BVRP WWIB T2UF IO1U LY,34561654.72
197,Deedee Chastand,dchastand5g@harvard.edu,FIFTH THIRD BANK,PS47 NUNS DFP0 B2KK BDKY AWAN JZ9R R,38307699.08
198,Sari Marquiss,smarquiss5h@bloglines.com,SOUTH STATE BANK,BE84 9412 1409 9913,35871471.21
199,Clemens Venditto,cvenditto5i@vistaprint.com,"Banco Bilbao Vizcaya Argentaria, S.A.",IS45 3982 9660 8436 9274 4772 93,28732526.24
